,wheel,station,name,x std,x std unc,y std,y std unc,z std,z std unc,phix std,phix std unc,phiy std,phiy std unc,phiz std,phiz std unc,nMuons_mean,nMuons_std,hesse_unc_x,hesse_unc_y,hesse_unc_z,hesse_unc_phix,hesse_unc_phiy,hesse_unc_phiz,njobs
122,-2,3,SM_10_6_01_31,0.08556530598447022,0.01824258453107605,0.3296187720219249,0.07027495831933103,0.37217928788991417,0.07934889079085067,0.001449760067455723,0.00030908988492531827,0.00035926727607310803,7.65960406219155e-05,0.0003167941772886275,6.754074553522163e-05,266.25,20.587396850765497,0.06385114851485968,0.4131244263737823,0.47351254823218075,0.0014206424602974529,0.0004899867345143132,0.0005668743981988721,31
123,-2,4,SM_10_6_01_31,0.1704028635321082,0.03341875101239647,0.0,0.0,1.2407494490212627,0.24333098661688135,0.004335807935139007,0.0008503218949409321,0.0014149636423604287,0.00027749720090077494,0.0021279262691819177,0.00041732067577097276,386.7857142857143,124.550995778639,0.13944037384180688,0.9717931768495951,0.0035377156673278795,0.0009187061942909558,0.0332185711613248,0.04384051447796726,31
124,-1,1,SM_10_6_01_31,0.03586676814940947,0.007646820662814691,0.10190009365623444,0.021725172964212974,0.13439728529677586,0.028653597501521962,0.0006058647758392558,0.00012917080422356067,0.000269485299432568,5.7454458886329674e-05,0.0004028479300080397,8.588746726008888e-05,475.0,36.10338689727801,0.027510829685780107,0.11286687659952911,0.17855382475134307,0.0009427706507947731,0.000218431415628186,0.00033211438792480323,31
125,-1,2,SM_10_6_01_31,0.04662163375085426,0.009939765713351034,0.13096919303140755,0.02792272577481231,0.186678436578476,0.03979997640667647,0.0009448399079616803,0.00020144054521879925,0.00025138135838395013,5.35946856859046e-05,0.00042555961075645344,9.072961386529061e-05,416.75,32.58869017424185,0.032891893631511494,0.13365808368121,0.24743689431179552,0.0013360183381974965,0.0002339846683011517,0.0004105595774874417,31
126,-1,3,SM_10_6_01_31,0.06015896403345063,0.012825934227143078,0.184342237328728,0.03930189705308076,0.3985724701839146,0.08497593616283577,0.0018544632129250233,0.00039537288545074187,0.00032756833527616667,6.98378037362935e-05,0.0006531551299175973,0.00013925314158977353,350.1666666666667,38.98212488572244,0.05068409513841596,0.17012988175704663,0.37197710503022446,0.002114714716772296,0.00027631054389340025,0.0005653257173229135,31
127,-1,4,SM_10_6_01_31,0.13371961110919184,0.02622457332291568,0.0,0.0,0.7782093805000954,0.1526194160319592,0.005417724078306368,0.0010625031074825253,0.0003551006518909101,6.964096743389497e-05,0.0012202644439551363,0.00023931354659502651,439.92857142857144,135.90577294905142,0.11812469501094414,0.7378865572895141,0.005449159895931534,0.0007906438154169947,0.027343911113811056,0.03802479388288271,31
128,0,1,SM_10_6_01_31,0.026174852884629615,0.00558049738550575,0.04136715538865859,0.00881950716245586,0.14507833499249298,0.030930804948078726,0.0035979922314617156,0.000767094521189559,0.00013121974698298718,2.7976144056774814e-05,0.00031360003131003245,6.685975132444078e-05,539.0833333333334,20.407032358894558,0.021967969106557544,0.0267794121792594,0.12716980118461038,0.0025682343156339924,9.250491878813797e-05,0.0003343682600566826,31
129,0,2,SM_10_6_01_31,0.032286488504769284,0.006883502477823993,0.054684944340393324,0.01165886930723854,0.15288674811682204,0.03259556421978623,0.0033819329492280233,0.0007210305274420568,0.0001422414376674949,3.032597640616182e-05,0.00063762264261707,0.0001359416041705167,478.6666666666667,20.028767190007358,0.029233047794120497,0.037944155237225496,0.19330849696792948,0.0037609389341847423,0.00010973453193958592,0.0003894153737762973,31
130,0,3,SM_10_6_01_31,0.06107743423800645,0.013021752732705661,0.0639836727449817,0.013641364864293046,0.2673723102652011,0.057003968082195405,0.007802821379110162,0.0016635671076211586,0.0001996756514771205,4.257099193369529e-05,0.000856679912649876,0.00018264477106441531,375.6666666666667,20.79918413318322,0.04259990316890404,0.0571412868831869,0.3097244877844394,0.006153842295671868,0.0001375321174610983,0.0005412052136974784,31
131,0,4,SM_10_6_01_31,0.1823320348782768,0.035758253992208215,0.0,0.0,0.9056629888307528,0.17761512510718358,0.011609269672508882,0.0022767650999493735,0.0002423419370481525,4.7527164075784766e-05,0.0016177287769816452,0.00031726271544346154,501.2142857142857,162.42166328201634,0.11128911190485541,0.7461280529698447,0.014154620648900688,0.001783696657025996,0.025878948918819273,0.034728655454311586,31
132,1,1,SM_10_6_01_31,0.03368396780977824,0.007181446066744043,0.1062986941752891,0.02266295774583759,0.1611803860938796,0.034363773777689004,0.0007104526087673935,0.00015146900512592052,0.00018749086868143295,3.997318751301719e-05,0.0002961534761564292,6.31401332677549e-05,459.3333333333333,50.31416452168466,0.02898861701886909,0.11923764785782495,0.18853246846807759,0.0009825583952111955,0.0002231502109939999,0.0003402365353691458,31
133,1,2,SM_10_6_01_31,0.05268378324087679,0.011232220327278634,0.11712931339917948,0.024972053522945865,0.18812556801873062,0.04010850586639948,0.001227206398776469,0.00026164128333533215,0.00022702568966022143,4.840203966668571e-05,0.0003978843093283388,8.482921977545913e-05,414.3333333333333,37.298143588542246,0.034164503996594674,0.13619758930808334,0.25238206816914177,0.0013441924465393091,0.0002371639025371835,0.0004182364761710772,31
134,1,3,SM_10_6_01_31,0.06485389861871671,0.013826897643964536,0.14388939193149725,0.030677321435768404,0.2913196678998321,0.06210956188472273,0.0015677923672859282,0.00033425445580221815,0.00035741954227665586,7.620210245287741e-05,0.0008594672486982683,0.00018323903310665639,359.75,36.161569253962014,0.04751821054430957,0.14409575520002893,0.3148553636195515,0.0021221219726176594,0.00027004925476660735,0.0005527528079229148,31
135,1,4,SM_10_6_01_31,0.12275689595774399,0.024074607996792917,0.0,0.0,1.1607163355350607,0.22763520171689175,0.0057086209858929265,0.0011195526847220505,0.0002981670940865182,5.847537811763124e-05,0.0009475846407224483,0.00018583663745479125,443.85714285714283,155.81688322804143,0.1267650301035063,0.8139918260382857,0.005578648645889586,0.0008051672408352725,0.03052751229862756,0.03652823718782498,31
136,2,1,SM_10_6_01_31,0.053138323410276175,0.011329128617006985,0.24143320850392624,0.05147373300507053,0.21193887804995615,0.04518552062385501,0.0006927429841987328,0.00014769330048149316,0.0006658832793120077,0.00014196679215854307,0.0005107793299968931,0.00010889851905497635,286.0,16.242480777830146,0.03880763455816394,0.319512465849665,0.25813503410682814,0.0007729333196768442,0.00047957420350417795,0.00040059778248678976,31
137,2,2,SM_10_6_01_31,0.04582076849650483,0.009769020667419416,0.2548296472207619,0.05432986333611393,0.23083829121957822,0.049214889050319094,0.0007875923067173713,0.0001679152439883112,0.0005228016219185366,0.000111461680304907,0.000453718033953047,9.673300986224879e-05,312.6666666666667,9.217900898235833,0.041447648706933106,0.31728675253362426,0.30190569995723276,0.00095479081478615,0.00046248729712285066,0.00044648600202022004,31
138,2,3,SM_10_6_01_31,0.0975976992382325,0.020807899392250584,0.39040507681816244,0.08323464204649936,0.39959540705857893,0.08519402703730078,0.0011425888807097449,0.0002436007678672727,0.0004466379494343993,9.522353077101485e-05,0.0004008717929959642,8.546615343349754e-05,274.0833333333333,14.631586835792396,0.05958752665896894,0.365688961641812,0.4164125958709703,0.0014334227685276013,0.0005190781893575058,0.0005979947045473452,31
139,2,4,SM_10_6_01_31,0.13435473160881078,0.026349130700647982,0.0,0.0,0.9841182190486298,0.1930014616388901,0.0038090626176880324,0.0007470186390803112,0.0007251974383263042,0.00014222291881666637,0.0011962887476320398,0.00023461152569489408,383.0,127.09717663147482,0.13814843466358928,0.8426494992411903,0.003342396060997474,0.0009218805314604025,0.03187095472369788,0.04310409857385125,31
140,-2,1,SM_10_6_01_4,0.16036492929063972,0.0341899178030812,0.93809235902382,0.2000019629516029,0.7804170332213157,0.16638547053890473,0.0017401900599532999,0.0003710097673769562,0.0016448599068633533,0.00035068531044788956,0.001580330036269192,0.00033692749581087954,27.75,8.069302098920101,0.12578241795523995,0.9832381027333443,0.7945173220263986,0.0027308682990336,0.0016079368250442345,0.0013261221348980893,4
141,-2,2,SM_10_6_01_4,0.1601783520828944,0.03415013940873427,1.009130311560778,0.2151473053209182,0.9003122639757425,0.19194721962336975,0.003955786972291996,0.0008433766162428449,0.0016672210936582142,0.00035545273149111553,0.0015394390356524858,0.00032820950518690006,29.666666666666668,7.559862111937965,0.1429604257594854,1.230742628117945,1.1730772211012652,0.003372045991184976,0.0016352749513970628,0.0015910470870886674,4
142,-2,3,SM_10_6_01_4,0.3484778409299377,0.07429572532031918,0.8890857867821021,0.1895537266435357,1.1334544534549977,0.2416533014330624,0.004010283016359483,0.00085499521187658,0.002472460356400541,0.0005271303191454433,0.0027127067004179845,0.0005783510117917786,23.083333333333332,5.63202423376329,0.2139097551149394,1.4942461867666474,1.7209309496122536,0.0053046889635491356,0.0017460951673185896,0.0020124243256993955,4
143,-2,4,SM_10_6_01_4,0.3458235938143775,0.06782158665847292,0.0,0.0,2.6654103820680284,0.5227299826883722,0.01536476699554115,0.003013278720464258,0.004651872476645632,0.0009123072512754337,0.006414641530421021,0.0012580147052430567,37.714285714285715,16.112243655195748,0.4370670347408311,2.6637967667008144,0.010274464532449925,0.0027738782803659054,0.09706592601349427,0.12213544990472083,4
144,-1,1,SM_10_6_01_4,0.07965461146889026,0.016982420226195224,0.3030555469827994,0.06461165971227419,0.4709236304357862,0.10040125535769437,0.0019316586308659226,0.00041183100385511234,0.0006799733161151682,0.0001449707980984538,0.001216643587838638,0.0002593892844766576,47.583333333333336,4.9259670639531805,0.08449773172497986,0.34875631416028396,0.5529385891157654,0.00295563332186747,0.0006602212381719731,0.0010048431054979015,4
145,-1,2,SM_10_6_01_4,0.13364948744146185,0.028494166463079826,0.26514464147818134,0.05652902750099976,0.4551410395148522,0.09703639566740367,0.004132468178585304,0.0008810451759911515,0.0008834037901029229,0.00018834232088120448,0.001383417318904746,0.0002949455634092498,37.5,6.515715268068845,0.11123352687027414,0.40418904508492887,0.7475766571618815,0.0043314210524184014,0.0007797312036849622,0.0013804044395272954,4
146,-1,3,SM_10_6_01_4,0.22549570463200747,0.04807584576265713,0.42559175473340916,0.09073646698420408,0.6161221108900639,0.13135767540429247,0.007095974553630836,0.0015128668580752771,0.0008882466306578835,0.00018937481795671808,0.002006485904495067,0.0004277842321957832,35.416666666666664,4.699290726623895,0.1615125072556302,0.5251275241945205,1.1821437095378886,0.006579637781316942,0.0008150764790292176,0.0016615043384435285,4
147,-1,4,SM_10_6_01_4,0.2878621167133688,0.05645440578252275,0.0,0.0,1.3753832585532604,0.26973484900122713,0.021231679501335976,0.004163874926294618,0.001288183576597846,0.0002526335843908524,0.003924170766580828,0.0007695932043640769,46.642857142857146,14.710577789505717,0.3497424664766103,2.4934772192376538,0.015814655951273265,0.0024009379119716645,0.07854305783181241,0.11504151356420367,4
148,0,1,SM_10_6_01_4,0.11056043245413215,0.023571563399807052,0.10597661132847139,0.022594289452170197,0.32166189728108857,0.06857854692463286,0.0077086937282728075,0.0016434990250337638,0.0005408840397437883,0.00011531686473869212,0.0013784589637110454,0.00029388843853000725,53.0,6.809084840390548,0.07144044139467971,0.08688891854929873,0.4236073260304485,0.008310150419817922,0.00030804550529643074,0.0010693715833765796,4
149,0,2,SM_10_6_01_4,0.17301341643312804,0.036886584322674436,0.1866002856210931,0.03978331456657856,0.4911968112329516,0.10472351202645683,0.019661043153476256,0.0041917484846197076,0.0005201103445883887,0.00011088789805020786,0.002104497599055875,0.00044868039568737476,49.5,5.317210478505367,0.09125057990683309,0.12540351536805763,0.6345005910162732,0.012469830258133696,0.0003495972563774874,0.0012649868247008214,4
150,0,3,SM_10_6_01_4,0.20573171604850682,0.04386214923861069,0.25131258600738005,0.05358002336595438,1.4701414524477694,0.313435210805942,0.030819348518196923,0.006570707181692804,0.0005625394224134363,0.00011993380783681595,0.0023241409776035226,0.0004955085213364998,37.416666666666664,4.541892543729748,0.12990175454293654,0.1825235601230701,0.9544090230783306,0.017588566361891652,0.0004035195988631367,0.0016455482875524093,4
151,0,4,SM_10_6_01_4,0.35350964913851485,0.069328946123101,0.0,0.0,2.823788025337251,0.5537903939786262,0.07513711646863809,0.014735600887256901,0.0011760334048558567,0.0002306391261537299,0.010279421328737626,0.0020159603824490397,49.285714285714285,17.45071553052976,0.3677319122481951,2.519898240575826,0.04735972294199848,0.0061991654104172995,0.0763969593402026,0.11273524595896604,4
152,1,1,SM_10_6_01_4,0.09928334594855645,0.021167280478414128,0.19300877530278218,0.04114960915747221,0.41845314276018014,0.08921450979772692,0.002159212052056246,0.00046034555626205917,0.0008555986777763899,0.0001824142510148394,0.0012827790252674233,0.00027348940711296635,45.583333333333336,12.573119475028196,0.08923020321991129,0.3697187669927869,0.5783856124305536,0.0029906541926474884,0.0006916928509099976,0.0009965346205727124,4
153,1,2,SM_10_6_01_4,0.14525434288669525,0.030968329957206893,0.6178781358946962,0.13173206119321842,1.2757261419276131,0.2719857273325463,0.00287631315661674,0.0006132320254537561,0.0004634748081587229,9.881316111221884e-05,0.0011563559720992396,0.00024653592161364617,39.666666666666664,9.217900898235833,0.10140023832976594,0.4331140150122136,0.8047045524083151,0.00436721784053265,0.000736262011786565,0.0012973527533661254,4
154,1,3,SM_10_6_01_4,0.1703344732740119,0.036315431722074916,0.3737048714188382,0.07967414629207759,0.7217845353749547,0.15388497999634176,0.0068124220212358675,0.0014524132550442226,0.00101131346583105,0.000215612755375255,0.001985897846633527,0.00042339484351133213,31.666666666666668,6.541244437251889,0.1410965331489993,0.5156316191494337,1.1288879483810605,0.0067781511736854415,0.00085161346865817,0.0017265075538014114,4
155,1,4,SM_10_6_01_4,0.5077087320789645,0.09956987431123428,0.0,0.0,2.641563856876939,0.5180532943314204,0.014005070740118511,0.002746620345888909,0.0017114316078405169,0.00033563935248301043,0.0033646122687055477,0.0006598547543770492,43.714285714285715,15.837776511719213,0.3729560870359175,2.304175511048211,0.015471780532865081,0.002248854629107258,0.08746646830969813,0.11755365819640468,4
156,2,1,SM_10_6_01_4,0.12803137182864968,0.027296380189859634,0.827297598819548,0.17638044070760403,0.6925314575820889,0.1476482028552964,0.0017057448484654283,0.00036366602361272144,0.0020521050802983177,0.00043751027315658877,0.0014548926071180225,0.00031018414605804405,27.416666666666668,4.999242366841624,0.12089666731000763,1.0639612304966757,0.8607597903402938,0.002650853793277429,0.0015366001431732328,0.0012817874888867758,4
157,2,2,SM_10_6_01_4,0.2258900151788131,0.048159913053702666,0.8551201489397586,0.18231222832407282,0.6815110650122267,0.14529864726488173,0.002302611555106199,0.0004909184330373478,0.001591508878507183,0.00033931083298404557,0.0015781643373037285,0.0003364657672400321,31.083333333333332,5.401318581998513,0.1262757366506593,1.0098598912720516,0.9591236451400136,0.0029756525894891247,0.001482117010675383,0.001436949314810141,4
